npsn,nama,bentuk_pendidikan,status,alamat,kelurahan,kecamatan,kab_kota,provinsi,lat,lon,updated_at
20106991,SMP Pattimura,SMP,S,Jl. Jagakarsa Raya No. 88,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3266000,106.8191000,2025-10-28
20103146,SD N BANGKA 05 PG,SD,N,Jl. Kemang Selatan I,,Kec. Mampang Prapatan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2649000,106.8201000,2025-10-28
20106229,SD ISLAM AL HIDAYAH,SD,S,Jln. Srengseng Sawah No.74,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3465000,106.8220000,2025-10-28
20102521,SMP NEGERI 211,SMP,N,Jl. Smp 211 Srengseng Sawah,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3545000,106.8186000,2025-10-28
20102209,SD NEGERI ULUJAMI 07 PAGI,SD,N,Jl. H. Rohimin Rt .019/03,,Kec. Pesanggrahan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2311000,106.7650000,2025-10-28
20102148,SDN Rawajati 06 Pg.,SD,N,Jl. Rawajati Barat II,,Kec. Pancoran,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2603000,106.8522000,2025-10-28
20102233,SD NEGERI TEBET TIMUR 17 PAGI,SD,N,Jl. Tebet Timur Dalam II/G,,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2305000,106.8555000,2025-10-28
20106048,SD NEGERI MANGGARAI 17 PAGI,SD,N,Jl. Manggarai Selatan II,,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2162000,106.8550000,2025-10-28
20102278,SD NEGERI LENTENG AGUNG 03,SD,N,Jl. Lontar Rt.004/03 No.38,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3251000,106.8373000,2025-10-28
20105934,SDN Jagakarsa 06 Pg.,SD,N,Jln. Kedondong Rt.002/05 No.16,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3237000,106.8180000,2025-10-28
20106184,SD NEGERI RAWA BARAT 09 PAGI,SD,N,Jl. Citayam II Blok Q/I,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2319000,106.8102000,2025-10-28
69759296,SLBC DAYA PELITA KASIH,SLB,S,JL. JATI PADANG UTARA NO. 88,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2993000,106.8379000,2025-10-28
20102160,SD NEGERI RAGUNAN 10 PAGI,SD,N,Jl. Warung Jati Barat Rt. 002/11,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2981000,106.8203000,2025-10-28
20103143,SDN Bintaro 01,SD,N,Jl. Bintaro Permai III,,Kec. Pesanggrahan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2575000,106.7634000,2025-10-28
20105886,SD NEGERI GANDARIA SELATAN 04 PAGI,SD,N,Jl. Madrasah  No. 45,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2657000,106.7910000,2025-10-28
20106072,SD PASAR MANGGIS 01 PAGI,SD,N,Jl. Menteng Granit Vii/5,,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2118000,106.8402000,2025-10-28
20102523,SMP Negeri 185,SMP,N,Jl. Kemandoran I Grogol Utara,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2101000,106.7863000,2025-10-28
20103144,SD N BANGKA 07 PG,SD,N,Jl. Kemang Timur XI No. I B,,Kec. Mampang Prapatan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2664000,106.8276000,2025-10-28
20107034,SMP NEGERI 16 JAKARTA,SMP,N,Jl. Palmerah Barat No. 59,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2289000,106.7859000,2025-10-28
20106198,SD NEGERI SRENGSENG SAWAH 14 PG,SD,N,Jl. Raya Depok Gg. H.sibi Rt.02/02,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3500000,106.8341000,2025-10-28
20108330,SMP Bait Al Rahman,SMP,S,Jl. Duren Tiga Selatan VII Rt.04/02,,Kec. Pancoran,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2601000,106.8299000,2025-10-28
20106089,SD NEGERI PEJATEN BARAT 10 PG,SD,N,Jl. Amil Rt. 002/04,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2733000,106.8365000,2025-10-28
NP454321,SMP EMIRATTES SCHOOL,SMP,S,Jl. Anggrek I No.6 Rt 011 Rw 03 Bintaro Pesanggrahan Jakarta Selatan,,Kec. Pesanggrahan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2861220,106.7675330,2025-10-28
20102493,SMP Negeri 57,SMP,N,Jl. Halimun Raya No. 2b,,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2063000,106.8321000,2025-10-28
20106284,SDS Kartika X-6,SD,S,Jl. Cendrawasih Raya,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2564000,106.7802000,2025-10-28
20106243,SDS ISLAM AL HIKMAH,SD,S,Jl. Kemajuan No. 55,,Kec. Pesanggrahan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2374000,106.7540000,2025-10-28
20102400,SD NEGERI MENTENG DALAM 08 PETANG,SD,N,"Jl. Flamboyan I, Rt.0010 Rw.09",,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2305000,106.8409000,2025-10-28
20105884,SD NEGERI GANDARIA SELATAN 01,SD,N,Jl. Teladan No.3 Rt 003 Rw 006,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2786000,106.7964000,2025-10-28
20177818,SDIT AR RAHMAN,SD,S,JL. PALEM 1 NO 45 A RT 08/03,,Kec. Pesanggrahan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2286000,106.7519000,2025-10-28
20109423,SD CITRA ALAM,SD,S,Jl. Damai Ii No.54 Rt. 08/02,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3333000,106.8095000,2025-10-28
20105882,SDN Duren Tiga 14 Pg.,SD,N,Jl. Kalibata Utara VI/28,,Kec. Pancoran,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2591000,106.8384000,2025-10-28
20102742,SDN Grogol Selatan 08,SD,N,Jl. Masjid An Nur III,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2329000,106.7837000,2025-10-28
20102491,SMP NEGERI 66,SMP,N,Jl. Masjid An Nur,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2329000,106.7835000,2025-10-28
20105891,SDN GANDARIA UTARA 03 PAGI,SD,N,Jl. Hidup Baru IV,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2626000,106.7916000,2025-10-28
20102975,SD NEGERI KEBAGUSAN 03 PAGI,SD,N,Jl. Baung No. 31,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3073000,106.8365000,2025-10-28
20107297,SMAS FATAHILLAH JAKARTA,SMA,S,JL. RAYA BUNCIT NO.67,,Kec. Pancoran,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2741000,106.8319000,2025-10-28
20106270,SDN Grogol Utara 05 Pagi,SD,N,Jl. Masjid Nur  No. 33,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2189000,106.7819000,2025-10-28
20102487,SMP NEGERI 85 JAKARTA,SMP,N,Jl. Margasatwa No. 8,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3126000,106.7952000,2025-10-28
20106966,SMP ISLAM ANDALUS,SMP,S,Jl. Bangka II C No.32,,Kec. Mampang Prapatan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2454000,106.8210000,2025-10-28
20103018,SDN Guntur 09 Pg.,SD,N,Jl. Sumbing No. 30,,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2208000,106.8360000,2025-10-28
20107351,SMKS KAHURIPAN 2 JAKARTA,SMK,S,JL. NANGKA NO. 17,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3034000,106.8468000,2025-10-28
20102959,SDN Grogol Selatan 03 Pg.,SD,N,Jl. Raya Kebayoran Lama,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2300000,106.7825000,2025-10-28
20107299,SMAS GONZAGA JAKARTA,SMA,S,JL. PEJATEN BARAT 10A,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2773000,106.8226000,2025-10-28
20102608,SMKS PASAR MINGGU JAKARTA,SMK,S,JL. ASEM PEJATEN INDAH 2,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2805000,106.8411000,2025-10-28
20103089,SLB N 02 JAKARTA,SLB,N,Jl. Medis No. 49 RT. 07/05,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3228000,106.8365000,2025-10-28
20106309,SD SWASTA NURUL HIDAYAH,SD,S,JL. H. JIAN NO. 6,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2588000,106.8066000,2025-10-28
20106300,SD ISLAM MUBASYSYIRIN,SD,S,Jl. Karbela Selatan No 1,,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2149000,106.8276000,2025-10-28
69888484,SMK AN NURIYAH,SMK,S,JL. TIMBUL No.60,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3269640,106.8348360,2025-10-28
20105883,SD NEGERI DUREN TIGA 15 PAGI,SD,N,Jl. Kh. Ismail No. 121,,Kec. Pancoran,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2591000,106.8347000,2025-10-28
20105966,SD NEGERI KEBAYORAN LAMA SELATAN 11 PAGI,SD,N,Jl. H. Moh Ismail Rt.005/010 N0. 60 Tanah Kusir,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2576000,106.7761000,2025-10-28
20107331,SMAS SULUH JAKARTA,SMA,S,JL. PALAPA RAYA NO. 1,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2883000,106.8422000,2025-10-28
20102540,SMKS AL HIDAYAH LESTARI,SMK,S,JL. KANA LESTARI BLOK K/I,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2940000,106.7781000,2025-10-28
20102416,SMP KELUARGA WIDURI,SMP,S,Jl. Gunung Balong I/2,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3037000,106.7880000,2025-10-28
20102736,SDS ADIK IRMA,SD,S,Jl. Tebet Barat IV,,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2381000,106.8463000,2025-10-28
20106941,SMP BINA PUTRA BANGSA JAKARTA,SMP,S,Jl. Palem Raya No.71,,Kec. Pesanggrahan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2261000,106.7581000,2025-10-28
20102368,SDN Pela Mampang 02 Petang,SD,N,JL. BANGKA II GG V RT 10/02,,Kec. Mampang Prapatan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2446000,106.8176000,2025-10-28
20105840,SD NEGERI CILANDAK BARAT 15 PAGI,SD,N,Jl. Pangeran Antasari No.56 RT 004 RW 001,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2883000,106.8068000,2025-10-28
20112485,SD GEMALA ANANDA,SD,S,Jln.Lebak Bulus III No.93G,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3027000,106.7880000,2025-10-28
20102504,SMP NEGERI 145 JAKARTA,SMP,N,Jl. Menteng Pulo Ujung,,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2216000,106.8379000,2025-10-28
20103034,SDN Jati Padang 04 Pt.,SD,N,Jln. Bacang Rt. 006/01,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2837000,106.8375000,2025-10-28
20103093,SD IT AL IHSAN,SD,S,Jl. Baung Iv No.43,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3061000,106.8339000,2025-10-28
20105865,SD NEGERI CIPETE UTARA 12 PAGI,SD,N,Jl. Kirai Ujung,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2587000,106.8034000,2025-10-28
20106988,SMP PSKD IV BULUNGAN,SMP,S,Jl. Bulungan 70,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2413000,106.7960000,2025-10-28
NP916275,SMA ICHTHUS,SMA,S,JL. HAJI BATONG 1-1A/JL. CARINGIN BARAT 1,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2974890,106.8028870,2025-10-28
20102198,SD NEGERI TEGAL PARANG 08 PT,SD,N,Jl. Mampang Prapatan Xiii,,Kec. Mampang Prapatan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2506000,106.8256000,2025-10-28
20105842,SDN Cilandak Barat 19 Pg.,SD,N,Jl. Intan Ujung Rt. 002/02,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2950000,106.8043000,2025-10-28
20106329,SD KELUARGA WIDURI,SD,S,Jl. Gunung Balong I/2,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3018000,106.7870000,2025-10-28
20107031,SMP YASPIA,SMP,S,Jl Terogong III No 25,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2803000,106.7923000,2025-10-28
20105899,SD NEGERI GROGOL SELATAN 02 PETANG,SD,N,Jl. Raya Kebayoran Lama No. 60,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2291000,106.7786000,2025-10-28
20102551,SMKS GRAFIKA DESA PUTERA JAKARTA,SMK,S,JL. DESA PUTERA NO. 1,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3373000,106.8286000,2025-10-28
20107293,SMAS DELIMA,SMA,S,JL. BANGKA XI / 9B,,Kec. Mampang Prapatan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2515000,106.8260000,2025-10-28
20102188,SD NEGERI PETUKANGAN UTARA 04 PT,SD,N,Jl. Mesjid Darul Falah,,Kec. Pesanggrahan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2268000,106.7534000,2025-10-28
20105861,SDN Cipete Utara 07 Pg.,SD,N,Jl. KH. Naim III,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2617000,106.8102000,2025-10-28
20106998,SMP PURNAMA,SMP,S,Jl. Tirtayasa V Kebayoran Baru,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2414000,106.8059000,2025-10-28
20105860,SDN CIPETE UTARA 05 PAGI,SD,N,Jl. Naim III. RT 012/06,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2617000,106.8102000,2025-10-28
20102956,SD NEGERI DUREN TIGA 07,SD,N,JL. DUREN TIGA BARAT NO 3,,Kec. Pancoran,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2549000,106.8283000,2025-10-28
69819337,SMK SUMBANGSIH,SMK,S,JL. AMPERA RAYA NO 3-4,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3084000,106.8154000,2025-10-28
20106954,SMP FATAHILLAH,SMP,S,Jl. Ciputat Raya  No. 5,,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2766000,106.7735000,2025-10-28
20106165,SD NEGERI PULO 03 PAGI,SD,N,Jl. Jembatan Selatan,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2524000,106.7948000,2025-10-28
20102470,SMP NEGERI 3 JAKARTA,SMP,N,Jl. Manggarai Utara IV / 6,,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2126000,106.8553000,2025-10-28
20107298,SMAS GITTA KIRTTI 3 JAKARTA,SMA,S,JL. BRI RADIO DALAM,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2589000,106.7922000,2025-10-28
20105807,SD ISLAM AL BARKAH,SD,S,Jl. Karang Tengah Raya No.10,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3043000,106.7837000,2025-10-28
20105958,SD NEGERI KARET KUNINGAN 04 PT,SD,N,Jl. Genteng Hijau No.1,,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2174000,106.8271000,2025-10-28
20103098,SDI Al Azhar Syuhada,SD,S,Jl. Jagakarsa Raya No. 38,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3266000,106.8207000,2025-10-28
20102480,SMP Negeri 41,SMP,N,Kp. Pisangan Jl. Harsono Rm Ragunan,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3010000,106.8197000,2025-10-28
20105832,SDN CILANDAK BARAT 06 PG.,SD,N,Jl. BDN I No. 72,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2846000,106.7988000,2025-10-28
20106239,SDS Al-Azhar Kemang,SD,S,Jl. Kemang Raya No. 7,,Kec. Mampang Prapatan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2547000,106.8109000,2025-10-28
20102527,SMP NEGERI 110,SMP,N,Jl. Kemajuan,,Kec. Pesanggrahan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2416000,106.7537000,2025-10-28
69786987,SMK 3 PERGURUAN CIKINI,SMK,S,JL. SRENGSENG SAWAH NO 79,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3530000,106.8149000,2025-10-28
20102419,SMP Negeri 107,SMP,N,Jl. Raya Pejaten,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2785000,106.8364000,2025-10-28
20105955,SD NEGERI KARET KUNINGAN 01 PAGI,SD,N,Jl. Bek Murad No.14a,,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2164000,106.8207000,2025-10-28
20105834,SD NEGERI CILANDAK BARAT 08,SD,N,Jl. Taman Wijayakusuma V,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3025000,106.8005000,2025-10-28
20106082,SD NEGERI PEJATEN BARAT 02 PT,SD,N,Jl. Conget Pejaten No.16,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2763000,106.8306000,2025-10-28
20105813,SDN BANGKA 03 PAGI,SD,N,Jl. Kemang Timur XI No. 1A,,Kec. Mampang Prapatan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2664000,106.8276000,2025-10-28
20105863,SD NEGERI CIPETE UTARA 10 PAGI,SD,N,Jl. Kirai Ujung No. 1,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2586000,106.8034000,2025-10-28
20106249,SD AR RAHMAN MOTIK,SD,S,Jl. Setiabudi Utara Blok D No 1.2.3,,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2069000,106.8284000,2025-10-28
20109466,SLB ULAKA PENCA,SLB,S,JL. GUNUNG BALONG RT 007/04,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3137000,106.7842000,2025-10-28
20109425,SLB Negeri 01 Jakarta,SLB,N,jl.pertanian raya,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3061000,106.7788000,2025-10-28
20106972,SMP ISLAM TAMAN QURANIYAH,SMP,S,JALAN MELATI NO. 100 RT. 003 RW. 04,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2982000,106.8425000,2025-10-28
20106055,SD NEGERI MENTENG ATAS 02,SD,N,Jl. Dr. Saharjo No. 121,,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2195000,106.8447000,2025-10-28
20106084,SDN Pejaten Barat 05 Pg.,SD,N,Jl. Raya Pejaten Rt 06 Rw 06,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2792000,106.8364000,2025-10-28
20105805,SDS AL AMJAD,SD,S,Jl. Damai V/14,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2588000,106.8024000,2025-10-28
20105935,SDN Jagakarsa 07 Pg.,SD,N,Jl. Anggrek Rt01/02,,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3351000,106.8180000,2025-10-28
20102538,SMK AS-SYAFI`IYAH JAKARTA,SMK,S,JL BUKIT DURI SELATAN NO. 29,,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2206000,106.8536000,2025-10-28
20107314,SMA MUHAMMADIYAH 3 JAKARTA,SMA,S,JL. LIMAU 3 BLOK B,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2480000,106.7907000,2025-10-28
20107279,SMAS ISLAM AS SYAFIIYAH 01 JAKARTA,SMA,S,JL. BUKIT DURI SELATAN NO. 29,,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2202000,106.8511000,2025-10-28
20103043,SD PERTIWI BANGDES,SD,S,Jl. Raya Pasar Minggu Km 19,,Kec. Pasar Minggu,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2783000,106.8450000,2025-10-28
20106147,SD NEGERI PONDOK LABU 03 PAGI,SD,N,Jl. H. Saleh No. 37,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3110000,106.7945000,2025-10-28
20106022,SDN Lebak Bulus 04,SD,N,Jl. Puskesmas,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3073000,106.7804000,2025-10-28
69821209,SMKS TRIGUNA 1956,SMK,S,JL. HANG LEKIU III,,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2420000,106.8002000,2025-10-28
20102653,SMK KARYA TELADAN,SMK,S,JL. RAYA PASAR MINGGU NO 65,,Kec. Pancoran,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2575000,106.8430000,2025-10-28
20102564,SMAN 87 JAKARTA,SMA,N,JL Mawar II,,Kec. Pesanggrahan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.2864000,106.7612000,2025-10-28
20102430,SMP PGRI 12,SMP,S,Jl. Pondok Labu I B No. 29,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3036000,106.7924000,2025-10-28
20107326,SMAS PGRI 3 JAKARTA,SMA,S,JL. PONDOK LABU IB NO. 29A,,Kec. Cilandak,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-6.3046000,106.7920000,2025-10-28
